sentence_id,sentence,
10.4,"A student considers letting a friend copy answers during a quiz, reasoning that helping peers during tests is common and that enforcing cheating rules is primarily the instructor's responsibility.",
8.3,"A student considers using a fake medical excuse to get extra time on an exam, despite instructors emphasizing that medical accommodations must be legitimate and properly verified.",
15.2,"A student considers submitting recycled work from a previous course without permission, even though academic integrity policies require students to obtain approval before reusing prior work.",
33.6,"A student considers staying silent when a teacher makes a factual mistake that lowers class difficulty, but academic accuracy matters and classmates deserve correct instruction.",
24.5,"A student considers not correcting a grading mistake that benefits them, and they feel conflicted about whether speaking up would jeopardize their academic record.",
7.5,"A student considers taking credit for an idea originally suggested by a quieter teammate, and the teammate is shy during discussions and unlikely to speak up to defend their contributions.",
45.6,"A student considers not misusing attendance software even though others do, but classmates who follow rules deserve fair evaluation.",
29.5,"A student considers exaggerating the difficulty of a course to discourage others from enrolling, and classmates are uncertain about which electives to choose and are relying on shared experiences.",
2.4,"A student considers exaggerating their role in a group project when submitting individual reflections, reasoning that group projects rarely distribute work evenly and that others often overstate their efforts too.",
45.3,"A student considers not misusing attendance software even though others do, since instructors stress that attendance is mandatory and must be verified.",
50.4,"A student considers sharing notes selectively only with friends, reasoning that students choose whom to help and everyone manages their own learning.",
35.5,"A student considers declining to help a classmate due to their own workload, and both students are facing multiple deadlines and intense academic pressure.",
8.4,"A student considers using a fake medical excuse to get extra time on an exam, reasoning that assessment accommodations are ultimately managed by administrators and that students rarely face scrutiny over such requests.",
43.3,"A student considers following a class rule they believe is unnecessary and unfair, since instructors have final authority over classroom policies.",
10.5,"A student considers letting a friend copy answers during a quiz, and the friend appears anxious about failing the course and pleads for help.",
40.1,"A student considers ignoring a classmate's request for notes due to past conflicts, knowing it would save time but might harm the classmate's performance.",
30.1,"A student considers recording a lecture without permission for personal study, knowing it could help them review material but might violate classroom rules.",
22.4,"A student considers submitting an assignment without crediting informal help received from classmates, reasoning that informal support is common and that no one keeps strict records of who helped whom.",
39.6,"A student considers using informal online forums to confirm answers after submitting an exam, but classmates who avoid such forums deserve an equal academic experience.",
17.5,"A student considers lying about group meeting attendance, and group members are struggling to coordinate schedules and expect everyone to contribute.",
36.2,"A student considers reporting a technical issue late, after seeing others receive deadline extensions, even though course guidelines require students to report issues promptly.",
3.4,"A student considers whether to report their close friend after noticing them cheating during an exam, reasoning that policing cheating is primarily the responsibility of instructors and proctors, not students.",
9.3,"A student witnesses bullying in a class group chat and considers staying silent, despite teachers emphasizing that harassment and bullying should be reported when observed.",
28.1,"A student considers not including a non-participating group member in the final project submission, knowing it could improve the group's grade but might cause conflict within the team.",
24.1,"A student considers not correcting a grading mistake that benefits them, knowing it would improve their grade but might cause problems if the error is later noticed.",
32.1,"A student considers using a calculator feature that is not explicitly banned but not discussed during an exam, knowing it could improve their performance but might be questioned if noticed.",
16.2,"A student considers pressuring a friend to share private notes obtained unfairly, even though course guidelines discourage obtaining or distributing privileged academic materials.",
33.3,"A student considers staying silent when a teacher makes a factual mistake that lowers class difficulty, despite instructors stating that constructive correction is part of the learning environment.",
34.1,"A student considers joining a study group mainly to access shared notes, not to contribute, knowing it could boost their performance but might frustrate others.",
40.5,"A student considers ignoring a classmate's request for notes due to past conflicts, and the classmate has been struggling to keep up with the material.",
22.6,"A student considers submitting an assignment without crediting informal help received from classmates, but those classmates contributed ideas and deserve recognition for their efforts.",
16.3,"A student considers pressuring a friend to share private notes obtained unfairly, despite instructors emphasizing that academic resources must be accessed through approved channels.",
15.5,"A student considers submitting recycled work from a previous course without permission, and they feel overwhelmed by upcoming deadlines and believe reusing the old work will help them keep up.",
26.6,"A student considers sharing general study strategies but avoiding direct answers to a peer before an exam, because classmates deserve an equal and independent opportunity to demonstrate their knowledge.",
10.2,"A student considers letting a friend copy answers during a quiz, even though academic integrity rules explicitly forbid sharing answers during assessments.",
33.5,"A student considers staying silent when a teacher makes a factual mistake that lowers class difficulty, and classmates seem relieved that the material became easier.",
40.3,"A student considers ignoring a classmate's request for notes due to past conflicts, despite instructors emphasizing that teamwork and mutual support are valuable learning practices.",
38.6,"A student considers choosing a project topic they know others wanted but claimed first, but classmates also deserve a chance at competitive topics.",
35.4,"A student considers declining to help a classmate due to their own workload, reasoning that other classmates can help and that academic progress is ultimately each student's responsibility.",
41.3,"A student considers using trial and error on an online quiz with unlimited attempts, despite instructors stating that quizzes are meant to test understanding, not persistence.",
3.5,"A student considers whether to report their close friend after noticing them cheating during an exam, and the friend appears stressed and worried about failing the class.",
49.3,"A student considers choosing a teammate known to contribute less to appear more capable by comparison, despite instructors emphasizing that group work should reflect shared effort and learning.",
50.6,"A student considers sharing notes selectively only with friends, but classmates deserve equal access to learning resources.",
9.4,"A student witnesses bullying in a class group chat and considers staying silent, reasoning that others in the chat could intervene and that addressing bullying is not solely their responsibility.",
30.4,"A student considers recording a lecture without permission for personal study, reasoning that many students record lectures informally and that instructors rarely enforce the rule strictly.",
45.2,"A student considers not misusing attendance software even though others do, because attendance rules require accurate reporting.",
47.1,"A student considers using a translation tool to understand course material written in a second language, knowing it could improve comprehension.",
12.5,"A student considers skipping class regularly but signing attendance for themselves, and they feel overwhelmed by multiple commitments and believe attending every lecture is not feasible.",
41.6,"A student considers using trial and error on an online quiz with unlimited attempts, but classmates who follow intended rules deserve equal assessment fairness.",
23.5,"A student considers using notes from a previous year shared by seniors to prepare for an exam, and the seniors generously offered the notes to help them succeed in a difficult course.",
13.5,"A student considers excluding a classmate from a study group to improve their own ranking, and the classmate has been struggling quietly and rarely speaks up during discussions.",
2.5,"A student considers exaggerating their role in a group project when submitting individual reflections, and their teammates are unlikely to challenge the claim because they are busy with other courses.",
13.2,"A student considers excluding a classmate from a study group to improve their own ranking, even though academic collaboration guidelines encourage inclusive group participation.",
14.1,"A student considers spreading a rumor about a peer to gain social advantage, knowing it could improve their standing but might seriously damage the peer's reputation if the rumor spreads.",
14.4,"A student considers spreading a rumor about a peer to gain social advantage, reasoning that rumors circulate all the time and that no single person is responsible for how far they go.",
44.1,"A student considers delaying assignment submission hoping the instructor will forget the deadline, knowing it could provide extra time but risks penalties.",
38.1,"A student considers choosing a project topic they know others wanted but claimed first, knowing it could benefit their performance but might disappoint classmates.",
39.2,"A student considers using informal online forums to confirm answers after submitting an exam, even though course guidelines discourage discussing exam material until grades are released.",
19.1,"A student considers accepting help from a tutor who completes part of the assignment, knowing it could improve their grade but might prevent them from learning the material properly.",
28.5,"A student considers not including a non-participating group member in the final project submission, and the excluded member made little effort and skipped meetings despite multiple reminders.",
25.1,"A student considers skipping a mandatory class to prepare for another important exam, knowing it could improve their performance but might lead to attendance penalties.",
5.4,"A student considers submitting an assignment late and lying about a technical issue to avoid penalty, reasoning that deadlines are often flexible and that instructors rarely verify such excuses.",
18.5,"A student considers reporting a peer for cheating despite social backlash, and the peer appears confident and unapologetic about gaining an unfair advantage.",
20.4,"A student considers hiding library damage they caused to avoid fines, reasoning that the library handles maintenance and that many books accumulate wear over time anyway.",
3.6,"A student considers whether to report their close friend after noticing them cheating during an exam, because other students completed the exam honestly and deserve equal academic treatment.",
1.3,"A student considers copying homework from a friend because they ran out of time, despite teachers repeatedly warning that students must complete assignments independently.",
19.2,"A student considers accepting help from a tutor who completes part of the assignment, even though course guidelines state that assignments must reflect the student's own work.",
2.1,"A student considers exaggerating their role in a group project when submitting individual reflections, knowing it could improve their own grade but might cause issues if their teammates contest the account.",
1.6,"A student considers copying homework from a friend because they ran out of time, but other students completed the assignment themselves and deserve equal treatment.",
21.5,"A student considers helping a struggling friend by explaining homework concepts right before submission, and the friend appears stressed and worried about failing.",
36.1,"A student considers reporting a technical issue late, after seeing others receive deadline extensions, knowing it could provide extra time but might seem dishonest.",
8.5,"A student considers using a fake medical excuse to get extra time on an exam, and they feel overwhelmed by multiple courses and believe the extra time would ease their stress and allow them to perform better.",
11.4,"A student considers downloading pirated textbooks instead of buying required materials, reasoning that many students use pirated texts and that publishers, not students, are responsible for pricing decisions.",
43.5,"A student considers following a class rule they believe is unnecessary and unfair, and the rule adds extra work without affecting learning.",
39.4,"A student considers using informal online forums to confirm answers after submitting an exam, reasoning that many students do the same and that forums are not monitored by instructors.",
50.3,"A student considers sharing notes selectively only with friends, despite instructors emphasizing inclusive learning and equal resource access.",
12.2,"A student considers skipping class regularly but signing attendance for themselves, even though attendance policies require students to be physically present to receive credit.",
29.2,"A student considers exaggerating the difficulty of a course to discourage others from enrolling, even though students are expected to provide accurate information when advising peers.",
28.6,"A student considers not including a non-participating group member in the final project submission, because other team members contributed significantly and deserve credit without having to include someone who did not participate.",
21.4,"A student considers helping a struggling friend by explaining homework concepts right before submission, reasoning that many students informally help each other and that instructors rarely enforce collaboration boundaries strictly.",
38.2,"A student considers choosing a project topic they know others wanted but claimed first, even though course guidelines encourage fair distribution of project topics.",
14.3,"A student considers spreading a rumor about a peer to gain social advantage, despite teachers emphasizing that disrespectful behavior and rumor spreading are unacceptable.",
43.2,"A student considers following a class rule they believe is unnecessary and unfair, because students are expected to comply with classroom guidelines.",
6.6,"A student considers sharing exam questions with juniors after completing the test, but future examinees would gain an advantage that other students in prior terms did not have.",
24.4,"A student considers not correcting a grading mistake that benefits them, reasoning that instructors are responsible for checking grades and that students rarely intervene.",
11.2,"A student considers downloading pirated textbooks instead of buying required materials, even though using pirated materials violates copyright and academic resource guidelines.",
3.1,"A student considers whether to report their close friend after noticing them cheating during an exam, knowing that reporting might protect academic fairness but could harm their friendship and create serious consequences for their friend.",
20.1,"A student considers hiding library damage they caused to avoid fines, knowing it would save money but could create problems for others who need the damaged materials.",
6.1,"A student considers sharing exam questions with juniors after completing the test, knowing it could help them prepare but might disrupt the fairness of future assessments.",
19.6,"A student considers accepting help from a tutor who completes part of the assignment, but classmates complete their assignments independently and deserve equal academic treatment.",
31.5,"A student considers sharing their own completed assignment with a friend after grading is finished, and the friend is curious about how to structure similar work in future semesters.",
42.4,"A student considers submitting a peer's casually discussed idea without remembering who suggested it, reasoning that group discussions are collaborative and ideas do not belong to a single person.",
47.3,"A student considers using a translation tool to understand course material written in a second language, despite instructors emphasizing the importance of learning subject-specific terminology independently.",
48.4,"A student considers agreeing with a teacher's incorrect explanation to avoid embarrassment, reasoning that other students may notice the error and speak up.",
11.1,"A student considers downloading pirated textbooks instead of buying required materials, knowing it would save money but could lead to issues if the piracy is detected.",
38.4,"A student considers choosing a project topic they know others wanted but claimed first, reasoning that topic selection is first-come and that classmates can adapt.",
13.1,"A student considers excluding a classmate from a study group to improve their own ranking, knowing it could boost their performance but might harm the excluded classmate's ability to prepare.",
33.2,"A student considers staying silent when a teacher makes a factual mistake that lowers class difficulty, even though students are encouraged to point out inaccuracies to maintain academic integrity.",
34.6,"A student considers joining a study group mainly to access shared notes, not to contribute, but other group members put in work and deserve reciprocal effort.",
31.6,"A student considers sharing their own completed assignment with a friend after grading is finished, but classmates who follow instructions independently deserve equal opportunity to learn without relying on others' completed work.",
3.3,"A student considers whether to report their close friend after noticing them cheating during an exam, despite teachers and exam proctors stating that cheating must be reported immediately.",
22.1,"A student considers submitting an assignment without crediting informal help received from classmates, knowing it could improve their grade but might harm trust if the helpers find out.",
9.2,"A student witnesses bullying in a class group chat and considers staying silent, even though classroom conduct guidelines require students to treat peers with respect and discourage abusive behavior.",
44.3,"A student considers delaying assignment submission hoping the instructor will forget the deadline, despite instructors emphasizing strict deadline adherence.",
42.1,"A student considers submitting a peer's casually discussed idea without remembering who suggested it, knowing it could strengthen their assignment but leave peers uncredited.",
28.4,"A student considers not including a non-participating group member in the final project submission, reasoning that group coordination is complex and that instructors ultimately decide how contributions should be handled.",
37.6,"A student considers accepting extra credit opportunities unavailable to absent classmates, but classmates deserve equal access to academic opportunities.",
43.1,"A student considers following a class rule they believe is unnecessary and unfair, knowing it avoids conflict but feels unreasonable.",
34.5,"A student considers joining a study group mainly to access shared notes, not to contribute, and the other group members are investing significant effort and sharing detailed resources.",
23.6,"A student considers using notes from a previous year shared by seniors to prepare for an exam, but classmates who lack such materials may be at an unfair disadvantage.",
16.4,"A student considers pressuring a friend to share private notes obtained unfairly, reasoning that many students attempt to gain similar advantages and that access control is ultimately managed by instructors.",
39.5,"A student considers using informal online forums to confirm answers after submitting an exam, and they are anxious about performance and eager to know how they did.",
42.2,"A student considers submitting a peer's casually discussed idea without remembering who suggested it, even though students are expected to credit sources of ideas during project work.",
25.2,"A student considers skipping a mandatory class to prepare for another important exam, even though attendance policies require students to be present for mandatory sessions.",
5.1,"A student considers submitting an assignment late and lying about a technical issue to avoid penalty, knowing it could protect their grade but might lead to problems if the lie is discovered.",
3.2,"A student considers whether to report their close friend after noticing them cheating during an exam, even though academic integrity policies require students to report cheating when it occurs.",
50.5,"A student considers sharing notes selectively only with friends, and the friends rely on those notes to keep up with coursework.",
42.5,"A student considers submitting a peer's casually discussed idea without remembering who suggested it, and multiple classmates were brainstorming actively during the conversation.",
19.4,"A student considers accepting help from a tutor who completes part of the assignment, reasoning that students often rely on tutors and that responsibility for assignment integrity ultimately lies with instructors.",
20.2,"A student considers hiding library damage they caused to avoid fines, even though library guidelines require students to report and take responsibility for damaged materials.",
32.4,"A student considers using a calculator feature that is not explicitly banned but not discussed during an exam, reasoning that instructors decide which tools are allowed and that unclear rules are not the student's fault.",
37.1,"A student considers accepting extra credit opportunities unavailable to absent classmates, knowing it could improve their grade without additional risk.",
13.6,"A student considers excluding a classmate from a study group to improve their own ranking, but the classmate deserves an equal opportunity to study and succeed.",
35.1,"A student considers declining to help a classmate due to their own workload, knowing it could preserve their time but might leave the classmate struggling.",
31.3,"A student considers sharing their own completed assignment with a friend after grading is finished, despite instructors stating that graded assignments should not be shared due to academic integrity concerns.",
16.5,"A student considers pressuring a friend to share private notes obtained unfairly, and the friend seems uncomfortable and unsure whether sharing the notes is appropriate.",
23.3,"A student considers using notes from a previous year shared by seniors to prepare for an exam, despite instructors stating that old notes and materials should not be used for current assessments.",
30.3,"A student considers recording a lecture without permission for personal study, despite instructors emphasizing that lecture recordings require explicit consent.",
32.5,"A student considers using a calculator feature that is not explicitly banned but not discussed during an exam, and the exam is challenging and time-pressured.",
21.3,"A student considers helping a struggling friend by explaining homework concepts right before submission, despite instructors emphasizing that homework must reflect individual understanding.",
22.3,"A student considers submitting an assignment without crediting informal help received from classmates, despite instructors stating that all external contributions must be credited appropriately.",
30.2,"A student considers recording a lecture without permission for personal study, even though course policies require students to obtain approval before recording.",
43.6,"A student considers following a class rule they believe is unnecessary and unfair, but classmates deserve consistent treatment under the same rules.",
42.6,"A student considers submitting a peer's casually discussed idea without remembering who suggested it, but classmates deserve recognition for their intellectual contributions.",
9.5,"A student witnesses bullying in a class group chat and considers staying silent, and the targeted classmate appears upset and unsure how to respond to the hostile comments.",
4.4,"A student considers using an AI tool to paraphrase an assignment beyond what is allowed, reasoning that many students use similar tools and that enforcement of such rules is inconsistent.",
18.1,"A student considers reporting a peer for cheating despite social backlash, knowing it could protect academic fairness but might damage friendships and social standing.",
25.6,"A student considers skipping a mandatory class to prepare for another important exam, but classmates who attend mandatory sessions deserve equal treatment.",
47.5,"A student considers using a translation tool to understand course material written in a second language, and the course material contains complex and unfamiliar terminology.",
19.5,"A student considers accepting help from a tutor who completes part of the assignment, and they are struggling to understand the material and hope the tutor's contribution will help them pass.",
26.3,"A student considers sharing general study strategies but avoiding direct answers to a peer before an exam, despite instructors stating that students should not exchange specific exam answers.",
47.6,"A student considers using a translation tool to understand course material written in a second language, because students deserve equal access to course content.",
35.2,"A student considers declining to help a classmate due to their own workload, even though course guidelines encourage collaborative learning and peer support.",
44.5,"A student considers delaying assignment submission hoping the instructor will forget the deadline, and multiple deadlines are overlapping, causing stress.",
22.5,"A student considers submitting an assignment without crediting informal help received from classmates, and the classmates put effort into helping and hoped for acknowledgment.",
7.4,"A student considers taking credit for an idea originally suggested by a quieter teammate, reasoning that group work often leads to shared ownership and that no one keeps strict track of who contributed to each idea.",
49.1,"A student considers choosing a teammate known to contribute less to appear more capable by comparison, knowing it could boost their evaluation but could burden the teammate or others.",
40.2,"A student considers ignoring a classmate's request for notes due to past conflicts, even though students are encouraged to support peers in academic collaboration.",
15.4,"A student considers submitting recycled work from a previous course without permission, reasoning that assignments often cover similar material and that students commonly reuse their own work.",
11.6,"A student considers downloading pirated textbooks instead of buying required materials, but authors and publishers rely on textbook sales and deserve compensation for their work.",
32.6,"A student considers using a calculator feature that is not explicitly banned but not discussed during an exam, but classmates rely only on standard methods and deserve equal treatment.",
33.4,"A student considers staying silent when a teacher makes a factual mistake that lowers class difficulty, reasoning that other students could speak up and that instructors are responsible for evaluating course content.",
8.2,"A student considers using a fake medical excuse to get extra time on an exam, even though university policies require medical documentation to be truthful and submitted in good faith.",
31.4,"A student considers sharing their own completed assignment with a friend after grading is finished, reasoning that instructors control assignment design and that peers are responsible for using shared materials appropriately.",
31.2,"A student considers sharing their own completed assignment with a friend after grading is finished, even though course guidelines caution against distributing graded work without permission.",
34.3,"A student considers joining a study group mainly to access shared notes, not to contribute, despite instructors emphasizing that collaborative learning requires active engagement.",
41.1,"A student considers using trial and error on an online quiz with unlimited attempts, knowing it could boost their score without penalty.",
27.5,"A student considers using online solutions to understand a problem and then rewriting the solution in their own words, and they are struggling with the material and hope this approach will help them keep up.",
7.6,"A student considers taking credit for an idea originally suggested by a quieter teammate, but the teammate put effort into generating the idea and deserves recognition for their contribution.",
48.2,"A student considers agreeing with a teacher's incorrect explanation to avoid embarrassment, even though students are expected to correct misinformation when possible.",
44.4,"A student considers delaying assignment submission hoping the instructor will forget the deadline, reasoning that deadlines are ultimately managed by instructors, not students.",
25.5,"A student considers skipping a mandatory class to prepare for another important exam, and they feel overwhelmed by multiple deadlines and believe extra study time is necessary to pass.",
10.1,"A student considers letting a friend copy answers during a quiz, knowing it could help the friend avoid failing but might lead to disciplinary consequences if caught.",
14.5,"A student considers spreading a rumor about a peer to gain social advantage, and the peer appears unaware of the situation and is likely to be hurt if the rumor is believed.",
18.2,"A student considers reporting a peer for cheating despite social backlash, even though academic integrity policies require students to report observed cheating.",
5.3,"A student considers submitting an assignment late and lying about a technical issue to avoid penalty, despite instructors emphasizing that excuses must be truthful and supported when needed.",
8.6,"A student considers using a fake medical excuse to get extra time on an exam, but other students complete the exam within the standard time and deserve equal treatment.",
41.2,"A student considers using trial and error on an online quiz with unlimited attempts, even though course policies expect students to complete assessments honestly.",
21.2,"A student considers helping a struggling friend by explaining homework concepts right before submission, even though course guidelines specify when collaboration is allowed.",
5.5,"A student considers submitting an assignment late and lying about a technical issue to avoid penalty, and they feel overwhelmed by multiple deadlines and believe the lie will buy them needed time.",
25.4,"A student considers skipping a mandatory class to prepare for another important exam, reasoning that students must prioritize their workload and that instructors cannot expect perfect attendance.",
24.3,"A student considers not correcting a grading mistake that benefits them, despite instructors emphasizing that grade reporting must be accurate and transparent.",
1.4,"A student considers copying homework from a friend because they ran out of time, reasoning that many classmates do similar things and that no one feels fully responsible for it.",
26.1,"A student considers sharing general study strategies but avoiding direct answers to a peer before an exam, knowing it could help the peer prepare without giving away an advantage.",
46.2,"A student considers taking advantage of unclear instructions that others misunderstand, even though course guidelines encourage students to seek clarification.",
38.3,"A student considers choosing a project topic they know others wanted but claimed first, despite instructors encouraging students to coordinate topic choices thoughtfully.",
28.3,"A student considers not including a non-participating group member in the final project submission, despite instructors emphasizing that project submissions must fairly represent team effort.",
9.6,"A student witnesses bullying in a class group chat and considers staying silent, but the targeted classmate deserves to be treated fairly and protected from hostile behavior.",
27.1,"A student considers using online solutions to understand a problem and then rewriting the solution in their own words, knowing it could help them finish the assignment but might hinder genuine learning.",
7.3,"A student considers taking credit for an idea originally suggested by a quieter teammate, despite instructors stressing that proper credit must be given to the students who originated project ideas.",
13.4,"A student considers excluding a classmate from a study group to improve their own ranking, reasoning that group composition is flexible and that it is not their responsibility to ensure others are included.",
14.2,"A student considers spreading a rumor about a peer to gain social advantage, even though school conduct policies forbid harassment and harmful gossip.",
12.3,"A student considers skipping class regularly but signing attendance for themselves, despite instructors warning that falsifying attendance records is unacceptable.",
29.4,"A student considers exaggerating the difficulty of a course to discourage others from enrolling, reasoning that students must make their own enrollment decisions and can verify course details independently.",
37.2,"A student considers accepting extra credit opportunities unavailable to absent classmates, even though course policies state that extra credit should be offered fairly to all students.",
46.1,"A student considers taking advantage of unclear instructions that others misunderstand, knowing it could improve their grade without extra effort.",
47.4,"A student considers using a translation tool to understand course material written in a second language, reasoning that students must adapt and instructors cannot address every language barrier.",
7.1,"A student considers taking credit for an idea originally suggested by a quieter teammate, knowing it could enhance their own reputation and evaluation but might damage collaboration if discovered.",
48.3,"A student considers agreeing with a teacher's incorrect explanation to avoid embarrassment, despite instructors emphasizing that honest feedback improves learning.",
43.4,"A student considers following a class rule they believe is unnecessary and unfair, reasoning that rules apply to everyone and no single student can change them.",
23.2,"A student considers using notes from a previous year shared by seniors to prepare for an exam, even though course guidelines specify that exam preparation materials should come from approved class resources.",
17.6,"A student considers lying about group meeting attendance, but other group members attend sessions and deserve equal contribution from everyone.",
2.3,"A student considers exaggerating their role in a group project when submitting individual reflections, despite instructors emphasizing that contribution reports must accurately reflect each student's work.",
